Binary,Expresso_tts,Num_gates,Optimal_net,Permu_int,Num_in
10000101,"Or(And(~x[0], ~x[1], ~x[2]), And(x[0], x[2]))",5,"O = NOR(I1, I3),I1 = NOR(I2, a),I2 = NOR(b, c),I3 = NOR(b, I4),I4 = NOR(a)",62,3
10000110,"Or(And(~x[0], x[1], x[2]), And(~x[0], ~x[1], ~x[2]), And(x[0], ~x[1], x[2]))",8,"O = NOR(I1, I7),I1 = NOR(I2, I5),I2 = NOR(c, I3),I3 = NOR(b, I4),I4 = NOR(a),I5 = NOR(b, I6),I6 = NOR(c, b),I7 = NOR(a, I6)",158,3
10000111,"Or(And(x[1], x[2]), And(~x[0], ~x[1], ~x[2]), And(x[0], x[2]))",6,"O = NOR(I1, I5),I1 = NOR(I2, I3),I2 = NOR(a, b),I3 = NOR(I4, I5),I4 = NOR(b, c),I5 = NOR(a, I4)",30,3
10001000,"And(~x[0], ~x[1])",3,"O = NOR(I1),I1 = NOR(I2, a),I2 = NOR(b, c)",14,2
10001001,"Or(And(~x[0], ~x[1]), And(x[0], x[1], x[2]))",7,"O = NOR(I1, I3),I1 = NOR(I2, c),I2 = NOR(b, c),I3 = NOR(I4),I4 = NOR(I5, I7),I5 = NOR(a, I2)",110,3
10001010,"Or(And(~x[0], x[2]), And(~x[0], ~x[1]))",3,"O = NOR(I1, c),I1 = NOR(I2, a),I2 = NOR(b)",174,3
10001011,"Or(And(~x[0], ~x[1]), And(x[1], x[2]))",4,"O = NOR(I1, I3),I1 = NOR(I2, b),I2 = NOR(c, b),I3 = NOR(a, I2)",46,3
10001100,"Or(And(~x[1], x[2]), And(~x[0], ~x[1]))",3,"O = NOR(I1, c),I1 = NOR(I2, b),I2 = NOR(a)",174,3
10001101,"Or(And(~x[0], ~x[1]), And(x[0], x[2]))",4,"O = NOR(I1, I3),I1 = NOR(I2, a),I2 = NOR(c, a),I3 = NOR(b, I2)",46,3
10001110,"Or(And(~x[1], x[2]), And(~x[0], ~x[1]), And(~x[0], x[2]))",6,"O = NOR(I1),I1 = NOR(I2, I5),I2 = NOR(c, I3),I3 = NOR(a, I4),I4 = NOR(a, b),I5 = NOR(b, I4)",142,3
10001111,"Or(x[2], And(~x[0], ~x[1]))",3,"O = NOR(I1),I1 = NOR(I2, a),I2 = NOR(b, c)",14,3
10010000,"Or(And(x[0], x[1], ~x[2]), And(~x[0], ~x[1], ~x[2]))",6,"O = NOR(I1, I3),I1 = NOR(I2, a),I2 = NOR(c, a),I3 = NOR(I4),I4 = NOR(b, I5),I5 = NOR(c, I2)",190,3
10010001,"Or(And(~x[0], ~x[1], ~x[2]), And(x[0], x[1]))",5,"O = NOR(I1, I3),I1 = NOR(I2, a),I2 = NOR(c, b),I3 = NOR(c, I4),I4 = NOR(a)",62,3
10010010,"Or(And(x[0], x[1], ~x[2]), And(~x[0], ~x[1], ~x[2]), And(~x[0], x[1], x[2]))",8,"O = NOR(I1, I7),I1 = NOR(I2, I5),I2 = NOR(b, I3),I3 = NOR(c, I4),I4 = NOR(a),I5 = NOR(c, I6),I6 = NOR(b, c),I7 = NOR(a, I6)",158,3
10010011,"Or(And(x[1], x[2]), And(~x[0], ~x[1], ~x[2]), And(x[0], x[1]))",6,"O = NOR(I1, I5),I1 = NOR(I2, I3),I2 = NOR(a, c),I3 = NOR(I4, I5),I4 = NOR(c, b),I5 = NOR(a, I4)",30,3
